name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
John Dodson,742,1822,9.0,38,3.2,3.58,0.71,0.0,0.62,0.82,0.71,13.62,0.85,0.11,0.04,0.5,0.41,0.09,414.0,223.0,105.0,22,12,0,0.6470588235294118,0.407244785949506,0.2368421052631578,34
AJ Dobson,91,159,0.0,2,4.7,4.55,0.78,0.78,0.4,0.63,0.78,9.68,0.63,0.15,0.22,0.5,0.17,0.33,78.0,8.0,5.0,6,1,0,0.8571428571428571,0.5723270440251572,0.0,7
Dan Downes,93,273,0.0,0,1.66,3.53,0.0,0.53,0.37,0.37,0.0,14.03,0.41,0.33,0.26,0.0,0.0,0.0,48.0,32.0,13.0,8,3,0,0.7272727272727273,0.3406593406593406,0.0,11
Antonio dos Santos,48,94,0.0,1,5.4,3.94,0.0,0.0,0.44,1.0,1.69,4.45,0.79,0.17,0.04,0.67,0.17,0.17,32.0,5.0,11.0,6,3,0,0.6666666666666666,0.5106382978723404,0.0,9
Anderson dos Santos,124,486,2.0,21,2.7,5.37,0.98,0.65,0.5,0.67,0.0,11.47,0.86,0.08,0.06,0.24,0.19,0.57,87.0,15.0,22.0,21,9,0,0.7,0.2551440329218107,0.0952380952380952,30
Junior Dos Santos,1109,2313,5.0,10,4.49,3.33,0.3,0.06,0.56,0.82,0.85,10.73,0.85,0.08,0.07,0.71,0.24,0.05,682.0,378.0,49.0,21,9,0,0.7,0.4794638996973627,0.5,30
Dricus Du Plessis,164,318,2.0,11,6.55,4.23,1.2,0.0,0.53,1.0,1.2,8.35,0.87,0.09,0.05,0.44,0.0,0.56,93.0,28.0,43.0,17,2,0,0.8947368421052632,0.5157232704402516,0.1818181818181818,19
Alexis Dufresne,40,144,0.0,6,1.33,3.33,1.5,0.0,0.61,0.5,0.0,15.0,0.78,0.05,0.18,0.6,0.0,0.4,12.0,8.0,20.0,5,2,0,0.7142857142857143,0.2777777777777778,0.0,7
Todd Duffee,124,333,0.0,4,5.93,2.87,0.72,0.0,0.57,0.9,2.87,2.98,0.76,0.19,0.06,1.0,0.0,0.0,104.0,18.0,2.0,9,3,0,0.75,0.3723723723723723,0.0,12
Joe Duffy,168,489,2.0,6,2.68,3.78,0.96,0.72,0.55,0.64,0.48,7.83,0.85,0.08,0.07,0.25,0.13,0.63,110.0,35.0,23.0,16,5,0,0.7619047619047619,0.3435582822085889,0.3333333333333333,21
Riley Dutro,71,130,0.0,3,4.74,5.95,0.0,0.0,0.33,0.83,0.0,14.97,0.77,0.23,0.0,0.0,0.0,0.0,34.0,26.0,11.0,14,4,0,0.7777777777777778,0.5461538461538461,0.0,18
Cody Durden,141,285,9.0,26,3.98,4.12,4.24,0.42,0.48,0.71,0.42,7.08,0.79,0.06,0.15,0.42,0.17,0.42,97.0,19.0,25.0,13,4,1,0.7222222222222222,0.4947368421052631,0.3461538461538461,18
Luiz Dutra,31,61,0.0,2,3.92,4.8,0.0,0.0,0.42,1.0,0.0,3.97,0.61,0.39,0.0,0.27,0.45,0.27,12.0,13.0,6.0,11,4,1,0.6875,0.5081967213114754,0.0,16
Albert Duraev,83,193,1.0,19,2.91,2.46,2.11,1.05,0.66,0.5,0.0,9.5,0.6,0.01,0.39,0.2,0.2,0.6,59.0,9.0,15.0,15,4,0,0.7894736842105263,0.4300518134715025,0.0526315789473684,19
Tom Duquesnoy,136,300,1.0,4,3.83,5.3,0.42,0.0,0.63,0.47,0.85,11.82,0.85,0.15,0.01,0.53,0.2,0.27,66.0,30.0,40.0,15,2,0,0.8823529411764706,0.4533333333333333,0.25,17
Evan Dunham,1228,3128,27.0,84,5.33,3.54,1.82,0.98,0.62,0.8,0.13,10.97,0.83,0.12,0.05,0.0,0.0,0.0,1039.0,137.0,52.0,18,8,1,0.6666666666666666,0.3925831202046035,0.3214285714285714,27
Kelly Dullanty,0,1,0.0,0,0.0,0.67,0.0,0.0,0.75,0.67,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0.8,0.0,0.0,5
Norma Dumont,270,536,5.0,11,3.67,2.19,1.02,0.0,0.67,0.7,0.2,14.7,0.78,0.17,0.05,0.0,0.71,0.29,194.0,49.0,27.0,7,2,0,0.7777777777777778,0.503731343283582,0.4545454545454545,9
David Dvorak,183,417,0.0,4,3.87,3.0,0.0,0.32,0.62,0.81,0.0,11.83,0.84,0.14,0.02,0.4,0.2,0.4,94.0,42.0,47.0,20,4,0,0.8333333333333334,0.4388489208633093,0.0,24
Marvin Eastman,69,199,0.0,7,2.18,4.05,0.95,0.0,0.42,0.82,0.0,6.32,0.29,0.71,0.0,0.0,0.0,0.0,31.0,20.0,18.0,15,8,1,0.625,0.3467336683417085,0.0,24
Leon Edwards,559,1139,12.0,60,2.62,2.15,1.48,0.35,0.55,0.7,0.28,15.25,0.71,0.15,0.14,0.32,0.53,0.16,369.0,111.0,79.0,19,3,0,0.8636363636363636,0.4907813871817383,0.2,22
Cody East,47,109,0.0,3,4.15,7.32,3.97,0.0,0.4,0.17,0.0,5.67,0.79,0.17,0.04,0.75,0.08,0.17,33.0,3.0,11.0,12,3,0,0.8,0.4311926605504587,0.0,15
Rolando Dy,151,401,1.0,5,3.04,4.47,0.3,0.0,0.52,0.68,0.3,12.42,0.77,0.18,0.05,0.22,0.56,0.22,91.0,43.0,17.0,9,6,1,0.5625,0.3765586034912718,0.2,16
Matt Dwyer,88,257,0.0,10,2.57,3.24,0.44,0.0,0.55,0.6,0.88,8.57,0.74,0.2,0.06,1.0,0.0,0.0,49.0,13.0,26.0,8,4,0,0.6666666666666666,0.3424124513618677,0.0,12
Stephanie Egger,52,97,5.0,13,1.9,1.75,3.29,0.55,0.52,0.33,0.0,6.85,0.46,0.1,0.44,0.43,0.14,0.43,37.0,3.0,12.0,7,3,0,0.7,0.5360824742268041,0.3846153846153846,10
Tom Egan,0,1,0.0,0,0.0,3.91,0.0,0.0,0.5,0.29,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0.8,0.0,0.0,5
Joselyne Edwards,421,787,1.0,12,5.61,3.65,0.4,0.2,0.49,0.63,0.0,15.0,0.88,0.07,0.05,0.55,0.27,0.18,138.0,151.0,132.0,12,4,0,0.75,0.5349428208386277,0.0833333333333333,16
Te Edwards,31,74,0.0,1,1.5,4.15,0.72,0.0,0.45,0.44,1.45,6.9,0.74,0.13,0.13,0.0,0.0,0.0,23.0,4.0,4.0,6,3,0,0.6666666666666666,0.4189189189189189,0.0,9
Johnny Eduardo,204,514,0.0,5,2.95,3.22,0.22,0.43,0.63,0.59,0.43,8.65,0.9,0.04,0.05,0.36,0.25,0.39,102.0,23.0,79.0,28,13,0,0.6829268292682927,0.3968871595330739,0.0,41
Anna Elmose,69,139,0.0,5,3.68,4.64,0.0,0.0,0.57,0.33,0.8,9.38,0.7,0.1,0.2,1.0,0.0,0.0,41.0,15.0,13.0,3,2,0,0.6,0.4964028776978417,0.0,5
Tim Elliott,763,1729,36.0,118,3.58,2.86,3.73,0.99,0.57,0.61,0.14,12.53,0.64,0.18,0.18,0.04,0.88,0.08,439.0,158.0,166.0,19,12,1,0.59375,0.4412955465587044,0.3050847457627119,32
Jake Ellenberger,417,1060,23.0,48,2.47,2.83,2.04,0.36,0.61,0.86,0.98,8.05,0.62,0.2,0.18,0.0,0.0,0.0,307.0,72.0,38.0,31,15,0,0.6739130434782609,0.3933962264150943,0.4791666666666667,46
Josh Emmett,620,1645,9.0,25,4.28,4.29,1.04,0.1,0.63,0.58,1.14,13.17,0.82,0.07,0.11,0.35,0.53,0.12,404.0,126.0,90.0,18,2,0,0.9,0.3768996960486322,0.36,20
Darren Elkins,1070,2751,39.0,165,3.52,3.16,2.76,1.14,0.52,0.56,0.1,11.68,0.55,0.22,0.24,0.36,0.46,0.18,808.0,213.0,49.0,28,10,0,0.7368421052631579,0.3889494729189385,0.2363636363636363,38
Andy Enz,112,482,0.0,1,3.51,5.32,0.0,0.0,0.58,0.58,0.0,10.65,0.98,0.02,0.0,0.25,0.25,0.5,74.0,22.0,16.0,8,3,0,0.7272727272727273,0.2323651452282157,0.0,11
Jamall Emmers,218,411,7.0,13,5.73,4.44,2.76,0.39,0.56,1.0,0.39,9.52,0.81,0.15,0.04,0.41,0.41,0.18,133.0,66.0,19.0,18,6,0,0.75,0.5304136253041363,0.5384615384615384,24
Carla Esparza,447,1092,25.0,124,2.2,2.59,3.25,0.3,0.55,0.47,0.0,14.52,0.54,0.14,0.32,0.2,0.6,0.2,327.0,67.0,53.0,20,6,0,0.7692307692307693,0.4093406593406593,0.2016129032258064,26
Ramazan Emeev,272,602,4.0,57,2.53,2.14,2.37,0.7,0.65,0.67,0.14,13.45,0.65,0.25,0.1,0.15,0.5,0.35,200.0,54.0,18.0,20,6,0,0.7692307692307693,0.4518272425249169,0.0701754385964912,26
Juan Espino,44,62,2.0,14,2.38,1.95,8.93,2.43,0.4,0.5,0.0,6.17,0.2,0.2,0.59,0.09,0.18,0.73,36.0,6.0,2.0,11,2,0,0.8461538461538461,0.7096774193548387,0.1428571428571428,13
Cole Escovedo,123,283,0.0,6,1.77,4.32,0.43,0.0,0.49,0.13,0.22,8.92,0.78,0.15,0.07,0.0,0.0,0.0,42.0,46.0,35.0,17,9,0,0.6538461538461539,0.4346289752650176,0.0,26
Rashad Evans,677,1793,53.0,141,2.14,2.42,2.98,0.0,0.63,0.74,0.19,12.2,0.55,0.21,0.24,0.0,0.0,0.0,529.0,93.0,55.0,24,8,1,0.7272727272727273,0.3775794757389849,0.375886524822695,33
Jessica Eye,895,2388,5.0,22,3.86,4.19,0.58,0.45,0.56,0.57,0.0,14.5,0.83,0.14,0.03,0.2,0.73,0.07,537.0,198.0,160.0,15,11,0,0.5769230769230769,0.3747906197654941,0.2272727272727272,26
Movsar Evloev,392,850,5.0,58,4.36,2.79,4.83,0.33,0.63,0.71,0.0,15.0,0.75,0.08,0.17,0.2,0.53,0.27,315.0,45.0,32.0,16,0,0,1.0,0.4611764705882353,0.0862068965517241,16
Andre Ewell,540,1349,1.0,4,4.28,4.87,0.36,0.12,0.51,0.73,0.12,14.03,0.98,0.02,0.0,0.41,0.35,0.24,317.0,165.0,58.0,17,9,0,0.6538461538461539,0.4002965159377316,0.25,26
Tonya Evinger,56,131,1.0,10,1.16,4.02,0.93,0.93,0.39,0.33,0.0,9.65,0.68,0.27,0.05,0.42,0.21,0.37,20.0,22.0,14.0,19,8,0,0.7037037037037037,0.4274809160305343,0.1,27
Doug Evans,42,117,0.0,6,1.79,2.55,3.19,0.64,0.56,0.7,0.0,11.75,0.52,0.43,0.05,0.0,0.0,0.0,26.0,11.0,5.0,6,2,0,0.75,0.358974358974359,0.0,8
Sijara Eubanks,578,1337,2.0,38,4.3,3.43,1.9,0.33,0.57,0.67,0.11,13.45,0.72,0.07,0.21,0.38,0.63,0.0,437.0,100.0,41.0,8,7,0,0.5333333333333333,0.4323111443530292,0.0526315789473684,15
Maiquel Falcao,25,45,0.0,1,1.67,0.53,1.0,3.0,0.87,0.71,1.0,15.0,0.36,0.2,0.44,0.0,0.0,0.0,18.0,6.0,1.0,26,3,0,0.896551724137931,0.5555555555555556,0.0,29
Zarah Fairn,15,33,0.0,0,1.98,6.61,0.0,0.0,0.39,0.5,0.0,3.78,0.93,0.07,0.0,0.67,0.33,0.0,14.0,1.0,0.0,6,4,0,0.6,0.4545454545454545,0.0,10
Tony Ferguson,1126,2487,6.0,14,5.12,3.81,0.41,1.09,0.59,0.67,0.2,11.0,0.9,0.03,0.07,0.5,0.19,0.31,700.0,201.0,225.0,26,7,0,0.7878787878787878,0.4527543224768798,0.4285714285714285,33
Melinda Fábián,121,290,0.0,1,4.03,4.0,0.0,0.0,0.63,1.0,0.5,15.0,0.81,0.19,0.0,0.0,0.0,1.0,73.0,23.0,25.0,4,3,2,0.4444444444444444,0.4172413793103448,0.0,9
Bartosz Fabinski,113,166,22.0,34,2.23,1.46,7.1,0.0,0.51,0.8,0.0,8.45,0.27,0.44,0.29,0.53,0.47,0.0,68.0,34.0,11.0,15,5,0,0.75,0.6807228915662651,0.6470588235294118,20
Deiveson Figueiredo,497,891,7.0,36,3.27,3.53,1.48,1.78,0.52,0.58,1.09,11.68,0.71,0.07,0.21,0.43,0.19,0.38,324.0,128.0,45.0,21,2,1,0.875,0.5578002244668911,0.1944444444444444,24
Kelly Faszholz,120,249,0.0,3,4.01,3.61,0.0,0.0,0.53,0.44,0.0,14.97,0.81,0.17,0.03,0.0,0.0,1.0,76.0,35.0,9.0,3,2,0,0.6,0.4819277108433735,0.0,5
Kalindra Faria,51,91,2.0,3,2.23,1.44,1.31,0.66,0.45,0.2,0.0,7.62,0.39,0.16,0.45,0.39,0.33,0.28,38.0,9.0,4.0,18,8,1,0.6666666666666666,0.5604395604395604,0.6666666666666666,27
Josh Ferguson,54,123,0.0,9,2.13,4.18,0.59,0.0,0.32,0.55,0.0,12.68,0.78,0.13,0.09,0.0,0.0,0.0,37.0,14.0,3.0,7,5,0,0.5833333333333334,0.4390243902439024,0.0,12
Carlos Felipe,366,804,0.0,1,4.88,5.6,0.0,0.0,0.51,0.73,0.0,15.0,0.87,0.11,0.02,0.55,0.45,0.0,232.0,110.0,24.0,11,2,0,0.8461538461538461,0.4552238805970149,0.0,13
Paul Felder,763,1710,3.0,14,3.7,3.44,0.29,0.22,0.49,0.65,0.22,13.75,0.73,0.14,0.13,0.59,0.35,0.06,449.0,149.0,165.0,17,6,0,0.7391304347826086,0.4461988304093567,0.2142857142857142,23
Rafael Fiziev,400,796,0.0,5,4.81,4.86,0.36,0.0,0.51,0.92,0.36,11.88,0.91,0.09,0.01,0.67,0.25,0.08,190.0,127.0,83.0,12,1,0,0.9230769230769232,0.5025125628140703,0.0,13
Drew Fickett,155,373,6.0,16,2.45,2.5,1.42,1.9,0.57,0.31,0.24,9.02,0.37,0.32,0.31,0.0,0.0,0.0,74.0,54.0,27.0,31,5,0,0.8611111111111112,0.4155495978552279,0.375,36
Andre Fialho,112,266,0.0,0,3.78,6.65,0.0,0.0,0.48,0.75,1.01,7.42,0.85,0.11,0.04,0.81,0.13,0.06,84.0,13.0,15.0,16,5,0,0.7619047619047619,0.4210526315789473,0.0,21
Manon Fiorot,421,787,1.0,12,5.61,3.65,0.4,0.2,0.49,0.63,0.0,15.0,0.88,0.07,0.05,0.55,0.27,0.18,138.0,151.0,132.0,9,1,0,0.9,0.5349428208386277,0.0833333333333333,10
Cezar Ferreira,297,693,23.0,52,1.9,2.44,2.69,0.48,0.54,0.85,0.19,10.42,0.78,0.06,0.15,0.29,0.43,0.29,157.0,75.0,65.0,14,8,0,0.6363636363636364,0.4285714285714285,0.4423076923076923,22
Chris Fishgold,70,217,1.0,13,2.01,2.7,2.59,1.29,0.47,0.44,0.0,8.7,0.84,0.13,0.03,0.11,0.17,0.72,44.0,10.0,16.0,18,4,1,0.782608695652174,0.3225806451612903,0.0769230769230769,23
Rob Font,1118,2418,5.0,32,6.38,3.95,1.03,0.43,0.57,0.55,0.51,12.52,0.88,0.07,0.05,0.42,0.37,0.21,825.0,206.0,87.0,19,6,0,0.76,0.4623655913978494,0.15625,25
Diego Ferreira,559,1480,1.0,25,4.67,3.35,0.75,0.75,0.57,0.63,0.25,9.2,0.76,0.08,0.16,0.18,0.41,0.41,398.0,114.0,47.0,17,5,0,0.7727272727272727,0.3777027027027027,0.04,22
Edwin Figueroa,193,489,0.0,1,2.57,3.06,0.2,0.6,0.52,0.37,0.4,12.53,0.62,0.04,0.34,0.0,0.0,0.0,136.0,39.0,18.0,9,4,0,0.6923076923076923,0.3946830265848671,0.0,13
Andre Fili,736,1993,23.0,64,3.82,3.92,2.49,0.16,0.52,0.68,0.31,10.72,0.86,0.05,0.09,0.43,0.43,0.14,521.0,110.0,105.0,21,9,0,0.7,0.369292523833417,0.359375,30
Jesse Forbes,53,217,0.0,4,2.11,4.06,1.79,1.19,0.54,0.67,0.6,6.28,0.51,0.45,0.04,0.0,0.0,0.0,31.0,18.0,4.0,13,6,0,0.6842105263157895,0.2442396313364055,0.0,19
Luke Flores,20,45,0.0,1,1.56,1.88,0.0,1.17,0.61,0.4,0.0,5.05,0.9,0.1,0.0,0.43,0.14,0.43,6.0,6.0,8.0,7,2,0,0.7777777777777778,0.4444444444444444,0.0,9
Xavier Foupa-Pokam,23,53,0.0,0,1.47,2.5,0.0,0.0,0.49,0.17,0.0,7.82,0.78,0.17,0.04,0.0,0.0,0.0,8.0,12.0,3.0,20,11,0,0.6451612903225806,0.4339622641509434,0.0,31
Brian Foster,81,203,0.0,10,3.3,1.63,3.67,1.83,0.65,0.38,0.61,4.92,0.41,0.06,0.53,0.0,0.0,0.0,61.0,14.0,6.0,17,5,0,0.7727272727272727,0.3990147783251231,0.0,22
Marcel Fortuna,127,273,1.0,12,3.83,4.52,0.45,0.45,0.65,0.75,0.45,11.05,0.91,0.09,0.0,0.11,0.33,0.56,88.0,26.0,13.0,9,3,0,0.75,0.4652014652014652,0.0833333333333333,12
Brianna Fortino,106,255,3.0,11,3.53,3.23,2.5,0.0,0.57,0.67,0.0,15.0,0.65,0.31,0.04,0.25,0.38,0.38,57.0,36.0,13.0,9,3,0,0.75,0.4156862745098039,0.2727272727272727,12
Justin Gaethje,717,1192,0.0,1,7.46,7.85,0.0,0.0,0.55,0.75,0.78,9.62,0.87,0.11,0.02,0.83,0.13,0.04,438.0,60.0,219.0,23,4,0,0.8518518518518519,0.6015100671140939,0.0,27
Claudia Gadelha,590,1420,31.0,84,3.31,4.57,3.03,0.67,0.57,0.59,0.08,14.83,0.79,0.11,0.11,0.12,0.47,0.41,490.0,75.0,25.0,18,5,0,0.782608695652174,0.4154929577464789,0.369047619047619,23
Sarah Frota,125,237,0.0,1,4.52,2.57,0.0,0.0,0.56,0.54,0.54,9.22,0.88,0.03,0.09,0.22,0.22,0.56,110.0,8.0,7.0,9,2,0,0.8181818181818182,0.5274261603375527,0.0,11
Jinh Yu Frey,226,504,3.0,9,3.12,4.13,0.62,0.41,0.53,0.89,0.0,14.48,0.83,0.14,0.03,0.09,0.73,0.18,133.0,34.0,59.0,11,7,0,0.6111111111111112,0.4484126984126984,0.3333333333333333,18
Josh Fremd,31,54,1.0,1,2.07,3.2,1.0,1.0,0.32,0.27,0.0,15.0,0.48,0.39,0.13,0.0,0.0,0.0,16.0,13.0,2.0,9,4,0,0.6923076923076923,0.5740740740740741,1.0,13
Donavon Frelow,36,129,0.0,1,2.4,3.2,1.0,0.0,0.52,0.26,0.0,15.0,0.81,0.17,0.03,0.0,0.33,0.67,25.0,9.0,2.0,6,3,0,0.6666666666666666,0.2790697674418604,0.0,9
Sheila Gaff,10,20,0.0,0,1.6,2.89,0.0,0.0,0.28,0.2,0.0,3.12,0.2,0.8,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10,6,1,0.5882352941176471,0.5,0.0,17
Willamy Freire,23,50,0.0,1,1.53,1.87,1.0,0.0,0.62,0.74,0.0,15.0,0.3,0.09,0.61,0.0,0.0,0.0,16.0,3.0,4.0,17,4,0,0.8095238095238095,0.46,0.0,21
Mateusz Gamrot,198,386,12.0,51,3.54,3.19,4.83,0.27,0.63,0.9,0.27,11.18,0.82,0.07,0.11,0.1,0.83,0.07,143.0,28.0,27.0,21,1,0,0.9545454545454546,0.5129533678756477,0.2352941176470588,22
Masio Fullen,78,243,0.0,3,2.46,3.5,0.47,0.0,0.54,0.69,0.0,10.57,0.76,0.22,0.03,0.3,0.2,0.5,49.0,19.0,10.0,10,6,0,0.625,0.3209876543209876,0.0,16
Mitch Gagnon,215,463,6.0,24,2.76,2.21,1.16,1.93,0.62,0.66,0.58,9.73,0.59,0.23,0.18,0.08,0.08,0.83,138.0,52.0,25.0,12,5,0,0.7058823529411765,0.4643628509719222,0.25,17
Shamil Gamzatov,99,205,0.0,3,5.35,3.46,0.0,0.0,0.52,0.5,0.0,9.27,0.99,0.01,0.0,0.36,0.29,0.36,26.0,36.0,37.0,14,1,0,0.9333333333333332,0.4829268292682926,0.0,15
Joey Gambino,44,124,0.0,6,2.47,2.53,0.0,0.84,0.52,0.43,0.0,8.9,0.84,0.07,0.09,0.0,0.0,0.0,24.0,10.0,10.0,9,2,0,0.8181818181818182,0.3548387096774194,0.0,11
Dave Galera,25,36,0.0,0,1.67,0.53,0.0,2.0,0.33,0.14,0.0,15.0,0.32,0.2,0.48,0.4,0.0,0.6,15.0,6.0,4.0,5,1,0,0.8333333333333334,0.6944444444444444,0.0,6
Mickey Gall,255,554,4.0,23,2.94,4.25,1.21,1.9,0.49,0.36,0.35,7.88,0.69,0.14,0.17,0.0,0.14,0.86,193.0,42.0,20.0,7,5,0,0.5833333333333334,0.4602888086642599,0.1739130434782608,12
Fernie Garcia,49,134,0.0,0,2.85,4.19,0.0,0.0,0.57,0.6,0.87,8.58,0.88,0.0,0.12,0.3,0.6,0.1,34.0,8.0,7.0,10,2,0,0.8333333333333334,0.3656716417910448,0.0,12
Steve Garcia,147,260,4.0,9,4.5,2.33,1.84,0.46,0.42,1.0,1.38,6.53,0.48,0.23,0.29,0.75,0.25,0.0,111.0,24.0,12.0,12,5,0,0.7058823529411765,0.5653846153846154,0.4444444444444444,17
Edgar Garcia,86,289,0.0,7,3.16,4.23,2.21,0.55,0.6,0.5,0.55,5.43,0.58,0.08,0.34,0.0,0.0,0.0,71.0,9.0,6.0,14,5,0,0.7368421052631579,0.2975778546712803,0.0,19
Alex Garcia,212,676,28.0,55,1.81,3.03,3.72,0.13,0.59,0.67,0.38,11.7,0.75,0.14,0.1,0.4,0.2,0.4,176.0,25.0,11.0,15,5,0,0.75,0.3136094674556213,0.509090909090909,20
Elias Garcia,35,127,0.0,7,1.59,5.05,0.68,1.36,0.5,0.33,0.68,11.0,0.91,0.09,0.0,0.33,0.17,0.5,19.0,4.0,12.0,6,2,0,0.75,0.2755905511811024,0.0,8
Rafa Garcia,228,591,12.0,42,3.26,4.75,3.87,0.43,0.53,0.76,0.0,13.97,0.82,0.13,0.05,0.07,0.29,0.64,165.0,43.0,20.0,14,3,0,0.8235294117647058,0.3857868020304568,0.2857142857142857,17
Leonard Garcia,552,2234,4.0,15,2.77,4.79,0.3,0.53,0.53,0.42,0.3,11.7,0.84,0.09,0.06,0.0,0.0,0.0,353.0,92.0,107.0,19,11,1,0.6129032258064516,0.2470904207699194,0.2666666666666666,31
Cody Garbrandt,372,961,5.0,26,3.16,4.22,1.02,0.0,0.61,0.83,1.27,9.82,0.89,0.05,0.06,0.83,0.17,0.0,287.0,36.0,49.0,12,5,0,0.7058823529411765,0.3870967741935484,0.1923076923076923,17
Kelvin Gastelum,957,2301,9.0,59,3.53,3.24,1.05,0.11,0.58,0.63,0.5,13.57,0.83,0.1,0.07,0.41,0.35,0.24,630.0,176.0,151.0,17,8,0,0.68,0.4159061277705345,0.1525423728813559,25
Louis Gaudinot,124,332,0.0,5,2.34,6.42,0.57,1.13,0.49,0.31,0.0,10.62,0.8,0.1,0.1,0.29,0.29,0.43,74.0,20.0,30.0,6,4,0,0.6,0.3734939759036144,0.0,10
Willie Gates,67,172,0.0,0,1.8,4.28,0.0,0.4,0.39,0.68,0.81,9.3,0.63,0.13,0.24,0.5,0.25,0.25,36.0,23.0,8.0,12,7,0,0.631578947368421,0.3895348837209302,0.0,19
Melissa Gatto,117,228,1.0,12,3.27,2.6,1.68,0.42,0.54,0.7,0.42,11.92,0.88,0.07,0.05,0.25,0.25,0.5,78.0,17.0,22.0,8,1,2,0.7272727272727273,0.5131578947368421,0.0833333333333333,11
Joe Gigliotti,20,51,0.0,2,1.04,2.92,1.56,0.78,0.46,0.5,0.0,9.6,0.55,0.4,0.05,0.43,0.0,0.57,12.0,6.0,2.0,7,2,0,0.7777777777777778,0.392156862745098,0.0,9
Loopy Godinez,143,247,15.0,50,2.23,1.73,5.37,0.93,0.58,0.8,0.0,12.85,0.63,0.13,0.24,0.06,0.89,0.06,105.0,29.0,9.0,8,2,0,0.8,0.5789473684210527,0.3,10
Thomas Gifford,118,312,1.0,3,3.97,6.45,0.5,0.0,0.37,0.33,0.0,14.88,0.88,0.1,0.02,0.18,0.06,0.76,61.0,23.0,34.0,17,9,0,0.6538461538461539,0.3782051282051282,0.3333333333333333,26
Mark Godbeer,124,230,0.0,2,3.97,3.3,0.0,0.0,0.54,0.29,0.0,7.82,0.71,0.18,0.11,0.69,0.15,0.15,65.0,42.0,17.0,13,3,0,0.8125,0.5391304347826087,0.0,16
Ricky Glenn,426,973,4.0,29,4.03,3.89,0.57,0.43,0.52,0.68,0.43,13.2,0.55,0.16,0.29,0.59,0.27,0.14,274.0,105.0,47.0,22,6,2,0.7333333333333333,0.4378211716341212,0.1379310344827586,30
Micheal Gillmore,31,54,0.0,0,2.04,3.02,0.0,0.0,0.43,0.5,0.0,7.62,0.9,0.0,0.1,0.5,0.5,0.0,14.0,4.0,13.0,6,5,0,0.5454545454545454,0.5740740740740741,0.0,11
Gregor Gillespie,221,418,17.0,56,3.74,2.3,6.86,0.76,0.58,1.0,0.51,7.38,0.31,0.09,0.61,0.53,0.13,0.33,186.0,20.0,15.0,14,1,0,0.9333333333333332,0.5287081339712919,0.3035714285714285,15
Trevin Giles,304,556,5.0,14,3.09,2.2,1.37,0.46,0.59,0.76,0.46,10.93,0.68,0.08,0.24,0.43,0.21,0.36,253.0,35.0,16.0,14,4,0,0.7777777777777778,0.5467625899280576,0.3571428571428571,18
Erick Gonzalez,23,53,1.0,3,3.06,6.65,2.0,0.0,0.41,0.33,0.0,3.77,0.87,0.09,0.04,0.57,0.36,0.07,16.0,4.0,3.0,14,7,0,0.6666666666666666,0.4339622641509434,0.3333333333333333,21
Joey Gomez,59,207,0.0,1,2.44,4.46,0.62,0.0,0.55,0.5,0.62,12.12,0.8,0.2,0.0,1.0,0.0,0.0,36.0,9.0,14.0,6,2,0,0.75,0.2850241545893719,0.0,8
Luis Gomez,21,62,0.0,8,1.57,4.03,4.48,0.0,0.55,0.33,0.0,13.38,0.95,0.05,0.0,0.5,0.25,0.25,16.0,3.0,2.0,4,1,0,0.8,0.3387096774193548,0.0,5
Lewis Gonzalez,21,56,0.0,6,1.4,1.87,2.0,0.0,0.42,0.63,0.0,15.0,0.38,0.38,0.24,0.0,0.0,0.0,10.0,6.0,5.0,10,2,0,0.8333333333333334,0.375,0.0,12
Marcelo Golm,142,243,1.0,2,4.27,4.3,0.45,0.45,0.46,0.88,0.0,8.32,0.51,0.35,0.14,0.83,0.0,0.17,93.0,24.0,25.0,6,3,0,0.6666666666666666,0.5843621399176955,0.5,9
Jason Gonzalez,46,116,0.0,0,3.06,3.13,0.0,1.0,0.59,0.3,0.0,3.77,0.85,0.13,0.02,0.36,0.0,0.64,31.0,7.0,8.0,11,5,0,0.6875,0.396551724137931,0.0,16
Takanori Gomi,791,1902,1.0,26,3.81,3.52,1.23,0.8,0.6,0.64,0.72,7.15,0.71,0.13,0.16,0.0,0.0,0.0,517.0,222.0,52.0,35,14,0,0.7142857142857143,0.4158780231335436,0.0384615384615384,49
Alex Gorgees,10,31,0.0,0,0.67,2.27,0.0,0.0,0.38,0.55,0.0,15.0,0.5,0.5,0.0,0.0,0.0,0.0,5.0,3.0,2.0,7,1,0,0.875,0.3225806451612903,0.0,8
