name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Keita Nakamura,384,1048,18.0,39,2.23,3.2,1.65,0.35,0.59,0.64,0.35,14.35,0.81,0.1,0.09,0.21,0.3,0.48,311.0,52.0,21.0,34,10,2,0.7391304347826086,0.366412213740458,0.4615384615384615,46
Muhammadjon Naimov,52,126,0.0,4,3.47,5.87,0.0,0.0,0.44,0.25,0.0,15.0,0.67,0.33,0.0,0.0,0.0,0.0,30.0,15.0,7.0,5,1,0,0.8333333333333334,0.4126984126984127,0.0,6
Elvis Mutapcic,131,322,0.0,0,3.41,4.27,0.0,0.0,0.39,0.81,0.0,12.82,0.5,0.29,0.21,0.33,0.2,0.47,73.0,42.0,16.0,15,5,1,0.7142857142857143,0.4068322981366459,0.0,21
Rose Namajunas,646,1587,16.0,33,3.66,3.5,1.61,0.59,0.61,0.6,0.34,13.6,0.77,0.08,0.15,0.17,0.33,0.5,500.0,95.0,51.0,12,5,0,0.7058823529411765,0.40705734089477,0.4848484848484848,17
Kevin Natividad,36,145,0.0,1,2.63,4.02,0.0,0.0,0.54,1.0,0.0,6.85,0.94,0.06,0.0,0.56,0.33,0.11,24.0,10.0,2.0,9,3,0,0.75,0.2482758620689655,0.0,12
Bobby Nash,65,172,0.0,9,3.42,3.95,2.37,1.58,0.51,1.0,0.79,6.33,0.69,0.28,0.03,0.5,0.13,0.38,40.0,9.0,16.0,8,4,0,0.6666666666666666,0.377906976744186,0.0,12
Rafael Natal,656,1370,36.0,105,3.1,2.48,2.55,0.5,0.58,0.77,0.35,12.45,0.66,0.12,0.22,0.0,0.0,0.0,379.0,93.0,184.0,21,9,1,0.6774193548387096,0.4788321167883211,0.3428571428571428,31
Rodrigo Nascimento Ferreira,96,168,2.0,5,5.46,6.14,1.71,1.71,0.38,1.0,0.0,4.4,0.77,0.08,0.15,0.33,0.0,0.67,67.0,14.0,15.0,9,1,0,0.9,0.5714285714285714,0.4,10
Roger Narvaez,67,181,0.0,2,2.12,3.32,0.0,0.95,0.65,0.5,0.47,10.53,0.82,0.04,0.13,0.43,0.29,0.29,42.0,16.0,9.0,7,2,0,0.7777777777777778,0.3701657458563536,0.0,9
Geoff Neal,539,1052,0.0,9,5.27,5.28,0.59,0.15,0.61,0.86,1.17,10.23,0.81,0.1,0.09,0.6,0.27,0.13,477.0,40.0,22.0,15,4,0,0.7894736842105263,0.5123574144486692,0.0,19
Nad Narimani,182,426,6.0,17,3.33,3.0,1.92,0.0,0.59,0.7,0.0,13.68,0.65,0.1,0.24,0.17,0.42,0.42,133.0,27.0,22.0,12,4,0,0.75,0.4272300469483568,0.3529411764705882,16
